mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,rms_energy,spectral_contrast,instrument,filename
-87.514641,115.442009,-5.423964,27.018663,13.433169,7.978896,2.874798,-4.372831,-17.096296,-5.176504,-12.889850,5.002692,-0.911787,1691.319293,2180.433347,3533.598633,0.068202,0.164485,24.717755,acoustic_guitar,082__[gac][nod][cou_fol]0670__1.wav
-94.936790,119.371872,-2.708246,26.411629,15.761219,12.123240,5.874740,-0.790978,-13.130313,-2.357026,-10.343746,0.995725,-2.654893,1598.140295,2179.195692,3411.853215,0.054947,0.168834,23.904259,acoustic_guitar,082__[gac][nod][cou_fol]0670__2.wav
-103.165070,126.432648,0.531862,25.141985,13.691323,10.675448,2.451001,-3.804006,-12.563232,-2.326192,-13.633798,0.349965,-0.957069,1498.402994,2086.972976,3136.807955,0.053816,0.165495,24.974414,acoustic_guitar,082__[gac][nod][cou_fol]0670__3.wav
-522.430725,157.355164,53.410881,32.073586,19.875462,7.075510,-1.737576,-3.983250,-11.668880,-13.385948,-13.265654,-6.165554,-6.494198,677.891736,1418.660804,698.918081,0.025522,0.014344,23.736869,acoustic_guitar,092__[gac][nod][pop_roc]0525__1.wav
-457.442078,175.231461,43.317635,28.100891,15.466828,1.538186,-2.264707,-2.245536,-10.432384,-10.373101,-5.055727,-4.995400,-11.638988,645.374106,1252.853700,767.327411,0.024226,0.023119,24.883929,acoustic_guitar,092__[gac][nod][pop_roc]0525__2.wav
-256.373444,86.347801,-9.673833,42.965866,-19.702726,5.819133,-4.276622,0.274270,-8.537646,6.691559,-5.015643,4.740564,-6.168844,2093.924507,2168.635603,4410.496920,0.119685,0.032427,29.976489,acoustic_guitar,110__[gac][nod][cou_fol]0771__1.wav
-262.796967,90.913864,-10.437553,49.871929,-13.287753,12.752472,-3.302302,1.908980,-17.476160,-8.435698,-4.770510,2.056330,-9.274095,2001.042633,2114.108663,4268.129319,0.112151,0.034336,29.927342,acoustic_guitar,110__[gac][nod][cou_fol]0771__2.wav
-257.277924,82.349411,-7.181717,46.315849,-16.017691,7.684350,-4.720173,0.477441,-14.055232,5.830937,-4.126165,1.095455,-3.110909,2184.466513,2208.837286,4544.913800,0.134029,0.033888,29.600703,acoustic_guitar,110__[gac][nod][cou_fol]0771__3.wav
-71.665268,53.062138,0.336143,19.258247,-6.929133,4.517376,-10.892877,-1.403371,-8.983085,-7.070236,-10.919943,-4.322796,-5.698121,3330.933829,2866.116475,6778.155424,0.187440,0.097598,23.002359,acoustic_guitar,122__[gac][nod][cou_fol]0715__1.wav
-73.700363,51.554409,0.262161,20.575006,-0.865175,2.976932,-10.180333,-0.683093,-8.766315,-8.647101,-14.200994,-1.731061,-6.103482,3338.589837,2920.007524,6948.516188,0.180593,0.094869,22.986741,acoustic_guitar,122__[gac][nod][cou_fol]0715__2.wav
-81.824951,53.661419,0.733142,21.159149,-3.642129,5.040712,-5.552246,-0.509848,-7.070897,-7.320334,-10.367168,1.294982,-4.727102,3325.007344,2890.381854,6873.812538,0.184187,0.090318,22.862545,acoustic_guitar,122__[gac][nod][cou_fol]0715__3.wav
-250.121368,138.542206,6.256429,29.757786,-0.949532,6.332057,-2.758225,-0.195290,-7.803285,-0.096428,-4.591496,-9.756778,-13.192226,1174.895476,1735.523927,2225.953463,0.048607,0.057132,26.523439,acoustic_guitar,131__[gac][nod][cou_fol]0767__1.wav
-315.403534,137.746124,11.787100,32.833668,6.986982,11.408664,10.557991,7.815711,-7.967284,-2.383656,-10.220675,-7.786952,-7.514720,1013.752061,1721.270023,1815.166203,0.027036,0.046856,26.146889,acoustic_guitar,131__[gac][nod][cou_fol]0767__2.wav
-256.373444,86.347801,-9.673833,42.965866,-19.702726,5.819133,-4.276622,0.274270,-8.537646,6.691559,-5.015643,4.740564,-6.168844,2093.924507,2168.635603,4410.496920,0.119685,0.032427,29.976489,acoustic_guitar,137__[gac][nod][cou_fol]0717__1.wav
-262.796967,90.913864,-10.437553,49.871929,-13.287753,12.752472,-3.302302,1.908980,-17.476160,-8.435698,-4.770510,2.056330,-9.274095,2001.042633,2114.108663,4268.129319,0.112151,0.034336,29.927342,acoustic_guitar,137__[gac][nod][cou_fol]0717__2.wav
-257.277924,82.349411,-7.181717,46.315849,-16.017691,7.684350,-4.720173,0.477441,-14.055232,5.830937,-4.126165,1.095455,-3.110909,2184.466513,2208.837286,4544.913800,0.134029,0.033888,29.600703,acoustic_guitar,137__[gac][nod][cou_fol]0717__3.wav
-294.599396,135.522690,-7.923697,36.706837,-6.592093,2.541194,0.830931,-5.242045,-23.516191,-20.525751,-13.675815,3.803015,1.664000,1202.051824,1664.895285,2261.648888,0.047934,0.040781,27.411526,acoustic_guitar,150__[gac][nod][cou_fol]0712__1.wav
-188.653427,121.776459,-20.166012,36.395180,-11.406137,5.988532,-6.316007,-4.671097,-17.731636,-8.103582,-15.106305,-3.553397,-4.163927,1493.541759,1793.135751,3075.438326,0.071533,0.075530,27.600779,acoustic_guitar,150__[gac][nod][cou_fol]0712__2.wav
-371.447662,132.776611,17.749323,27.362017,1.231430,3.459528,0.225237,-8.104623,-15.025665,-10.441863,-12.139744,-2.926818,-4.719663,1210.169462,1924.627233,2192.991098,0.040362,0.020490,24.955520,acoustic_guitar,150__[gac][nod][cou_fol]0712__3.wav
-350.589874,132.355835,10.763510,38.024906,8.927813,13.705979,18.619934,2.566015,-13.270407,-8.767741,-11.242646,-5.451643,-8.101938,1145.611478,1824.851696,2277.384691,0.039799,0.028355,25.148115,acoustic_guitar,154__[gac][nod][cou_fol]0765__1.wav
-309.381958,135.471268,3.310732,27.854675,0.462814,12.863097,7.027046,-4.674162,-8.466189,-1.429131,-6.953211,2.013161,-11.442009,1241.544407,1781.087452,2375.360765,0.050740,0.034828,25.951231,acoustic_guitar,154__[gac][nod][cou_fol]0765__2.wav
-361.062500,117.293137,17.343477,37.556019,5.272100,18.172476,19.758064,1.958696,-14.805637,-8.935183,-10.305509,-0.198453,-10.369600,1460.223555,2062.696786,2984.916053,0.061103,0.020038,25.211365,acoustic_guitar,154__[gac][nod][cou_fol]0765__3.wav
-294.599396,135.522690,-7.923697,36.706837,-6.592093,2.541194,0.830931,-5.242045,-23.516191,-20.525751,-13.675815,3.803015,1.664000,1202.051824,1664.895285,2261.648888,0.047934,0.040781,27.411526,acoustic_guitar,158__[gac][nod][cou_fol]0766__1.wav
-188.653427,121.776459,-20.166012,36.395180,-11.406137,5.988532,-6.316007,-4.671097,-17.731636,-8.103582,-15.106305,-3.553397,-4.163927,1493.541759,1793.135751,3075.438326,0.071533,0.075530,27.600779,acoustic_guitar,158__[gac][nod][cou_fol]0766__2.wav
-215.148102,110.857628,11.631883,17.012625,1.833302,16.540613,2.012894,11.632361,-6.130863,-18.365099,-2.774058,-4.712206,-18.980143,1776.925416,2291.750151,3921.776029,0.080518,0.060241,26.288521,acoustic_guitar,159__[gac][nod][cou_fol]0718__1.wav
-244.229568,121.203354,10.022228,20.607710,-3.318964,18.611723,5.183699,11.899364,-3.747025,-17.610085,-7.956144,0.263249,-19.559465,1540.286753,2101.369763,3324.146822,0.068506,0.049323,26.688115,acoustic_guitar,159__[gac][nod][cou_fol]0718__2.wav
-235.766144,120.220467,14.723971,21.468067,-0.427913,18.347439,3.546324,10.534438,-5.273409,-21.071039,-5.255741,2.996279,-21.184071,1489.433432,2091.520256,3111.547852,0.063492,0.060485,27.066132,acoustic_guitar,159__[gac][nod][cou_fol]0718__3.wav
-480.560333,131.965714,11.143827,20.035769,1.994585,-13.194541,-14.201837,-15.056246,-32.003517,-26.311922,-16.964724,-0.835817,2.121657,992.374607,1335.226956,1599.254432,0.048809,0.018061,28.008234,acoustic_guitar,170__[gac][nod][pop_roc]0628__1.wav
-494.485870,151.387939,29.357370,27.543814,8.375835,0.061110,-1.268812,-2.479459,-20.763067,-26.233982,-22.727720,-10.742618,-10.209886,766.904045,1291.392498,1135.628005,0.030427,0.016413,26.712519,acoustic_guitar,170__[gac][nod][pop_roc]0628__2.wav
-573.204712,159.895599,61.148026,32.311932,13.938249,1.437994,2.191458,-6.640895,-20.749413,-20.817574,-17.007988,-11.634991,-8.435072,544.405854,1056.731865,619.907790,0.025684,0.012459,25.429868,acoustic_guitar,170__[gac][nod][pop_roc]0628__3.wav
-229.422440,89.276894,2.554579,45.805084,-6.128215,6.260310,1.315413,9.211670,-15.167664,-10.669633,-8.062209,-1.833905,-3.149407,1910.323365,2269.944973,4323.701547,0.067894,0.059331,28.046942,acoustic_guitar,174__[gac][nod][cou_fol]0716__1.wav
-262.864960,89.908234,4.200557,49.409313,-11.691342,6.622709,-1.132800,4.109814,-16.126150,-10.649693,-7.166954,-4.802978,-0.906118,2117.132137,2299.696400,4675.272498,0.110183,0.031147,27.350804,acoustic_guitar,174__[gac][nod][cou_fol]0716__3.wav
-215.148102,110.857628,11.631883,17.012625,1.833302,16.540613,2.012894,11.632361,-6.130863,-18.365099,-2.774058,-4.712206,-18.980143,1776.925416,2291.750151,3921.776029,0.080518,0.060241,26.288521,acoustic_guitar,176__[gac][nod][cou_fol]0772__1.wav
-244.229568,121.203354,10.022228,20.607710,-3.318964,18.611723,5.183699,11.899364,-3.747025,-17.610085,-7.956144,0.263249,-19.559465,1540.286753,2101.369763,3324.146822,0.068506,0.049323,26.688115,acoustic_guitar,176__[gac][nod][cou_fol]0772__2.wav
-235.766144,120.220467,14.723971,21.468067,-0.427913,18.347439,3.546324,10.534438,-5.273409,-21.071039,-5.255741,2.996279,-21.184071,1489.433432,2091.520256,3111.547852,0.063492,0.060485,27.066132,acoustic_guitar,176__[gac][nod][cou_fol]0772__3.wav
-350.589874,132.355835,10.763510,38.024906,8.927813,13.705979,18.619934,2.566015,-13.270407,-8.767741,-11.242646,-5.451643,-8.101938,1145.611478,1824.851696,2277.384691,0.039799,0.028355,25.148115,acoustic_guitar,182__[gac][nod][cou_fol]0711__1.wav
-309.381958,135.471268,3.310732,27.854675,0.462814,12.863097,7.027046,-4.674162,-8.466189,-1.429131,-6.953211,2.013161,-11.442009,1241.544407,1781.087452,2375.360765,0.050740,0.034828,25.951231,acoustic_guitar,182__[gac][nod][cou_fol]0711__2.wav
-361.062500,117.293137,17.343477,37.556019,5.272100,18.172476,19.758064,1.958696,-14.805637,-8.935183,-10.305509,-0.198453,-10.369600,1460.223555,2062.696786,2984.916053,0.061103,0.020038,25.211365,acoustic_guitar,182__[gac][nod][cou_fol]0711__3.wav
-163.070007,163.957245,-48.759605,34.936447,17.026926,14.212749,8.287305,-4.714697,-5.514324,-0.023453,-2.779763,3.696463,2.964080,1148.553638,1352.598878,2190.506498,0.046571,0.158672,25.578532,acoustic_guitar,187__[gac][nod][pop_roc]0623__1.wav
-116.213844,107.534088,12.757681,32.048149,12.681353,13.799604,-4.126967,3.948504,-7.280612,-0.671886,-12.528972,3.401873,-4.995563,1742.953501,2377.577571,4189.533128,0.051923,0.149691,23.869924,acoustic_guitar,193__[gac][nod][cou_fol]0719__1.wav
-147.063370,134.813156,6.545602,35.361870,18.773865,16.093599,3.869462,4.181580,-10.674637,0.222001,-4.900837,2.457383,-5.652258,1146.193057,1876.992183,2457.766677,0.025349,0.195672,23.634726,acoustic_guitar,193__[gac][nod][cou_fol]0719__2.wav
-184.353500,133.534576,20.407722,35.820801,18.933058,15.119551,5.797576,8.699371,-10.463685,-3.815595,-5.634518,7.898958,2.984702,1062.049707,1883.047498,2155.307993,0.021875,0.173740,24.043661,acoustic_guitar,193__[gac][nod][cou_fol]0719__3.wav
-116.213844,107.534088,12.757681,32.048149,12.681353,13.799604,-4.126967,3.948504,-7.280612,-0.671886,-12.528972,3.401873,-4.995563,1742.953501,2377.577571,4189.533128,0.051923,0.149691,23.869924,acoustic_guitar,195__[gac][nod][cou_fol]0773__1.wav
-147.063370,134.813156,6.545602,35.361870,18.773865,16.093599,3.869462,4.181580,-10.674637,0.222001,-4.900837,2.457383,-5.652258,1146.193057,1876.992183,2457.766677,0.025349,0.195672,23.634726,acoustic_guitar,195__[gac][nod][cou_fol]0773__2.wav
-184.353500,133.534576,20.407722,35.820801,18.933058,15.119551,5.797576,8.699371,-10.463685,-3.815595,-5.634518,7.898958,2.984702,1062.049707,1883.047498,2155.307993,0.021875,0.173740,24.043661,acoustic_guitar,195__[gac][nod][cou_fol]0773__3.wav
-240.126129,117.721565,6.330665,43.135582,6.871370,13.395188,-7.421349,0.482158,-2.576574,-2.425315,-2.735083,-1.010778,-8.051693,1414.031119,1919.730255,3052.414363,0.049977,0.073649,25.696673,acoustic_guitar,200__[gac][nod][cou_fol]0714__1.wav
-214.449966,93.735519,6.839043,30.818813,2.797838,8.095377,-11.120669,-0.820779,-4.572969,3.009475,1.640578,0.031737,-16.806276,1955.437879,2291.061590,4313.514686,0.080172,0.073885,26.646327,acoustic_guitar,200__[gac][nod][cou_fol]0714__3.wav
-240.126129,117.721565,6.330665,43.135582,6.871370,13.395188,-7.421349,0.482158,-2.576574,-2.425315,-2.735083,-1.010778,-8.051693,1414.031119,1919.730255,3052.414363,0.049977,0.073649,25.696673,acoustic_guitar,218__[gac][nod][cou_fol]0768__1.wav
-230.889999,107.813553,8.829279,48.307571,6.750120,16.292900,-6.823578,3.663724,-2.987164,-5.771924,-1.957249,-3.614172,-11.330115,1466.017358,2014.263033,3297.644419,0.045125,0.082411,26.275531,acoustic_guitar,218__[gac][nod][cou_fol]0768__2.wav
-214.449966,93.735519,6.839043,30.818813,2.797838,8.095377,-11.120669,-0.820779,-4.572969,3.009475,1.640578,0.031737,-16.806276,1955.437879,2291.061590,4313.514686,0.080172,0.073885,26.646327,acoustic_guitar,218__[gac][nod][cou_fol]0768__3.wav
-367.358337,110.843643,-5.709767,47.584232,7.528036,1.709598,0.598556,2.952406,-13.948727,-9.406693,-21.998602,-11.970368,-5.795096,1439.593587,1882.145357,3083.471867,0.050391,0.021914,26.625883,acoustic_guitar,[gac][jaz_blu]0523__1.wav
-325.528320,126.338028,-1.415845,42.248116,17.000984,8.379629,-2.774188,5.557498,-12.144546,-5.512531,-14.083769,-11.884229,-9.579008,1276.823994,1814.846632,2712.024114,0.048663,0.034750,27.272905,acoustic_guitar,[gac][jaz_blu]0523__2.wav
-339.453857,110.482666,-13.305716,39.691280,17.915144,6.232289,-3.106695,4.689300,-18.214886,-11.629282,-19.123314,-8.400332,-10.770178,1670.489042,1972.185042,3462.704703,0.077821,0.020152,26.448822,acoustic_guitar,[gac][jaz_blu]0523__3.wav
-227.913147,184.538788,-30.321476,37.564438,-6.525258,10.045011,12.672890,-3.786402,11.829875,-11.681462,2.305650,-4.628327,-16.987349,1021.255095,1205.384560,1912.148438,0.065208,0.118231,24.587675,acoustic_guitar,[gac][jaz_blu]0524__1.wav
-249.293991,198.752640,-2.669339,22.264832,-0.859915,10.355542,11.069816,-7.563010,4.961643,-4.281324,-4.248506,-11.718031,-17.134138,681.461656,944.311928,1153.268667,0.033864,0.152658,24.467866,acoustic_guitar,[gac][jaz_blu]0524__2.wav
-154.008743,95.784897,18.183872,36.848053,1.728387,13.603664,6.508574,8.247308,-9.145013,0.915272,-4.326442,2.963797,-6.832858,1992.951988,2548.938606,4857.228065,0.060753,0.084133,22.165689,acoustic_guitar,[gac][jaz_blu]0531__2.wav
-147.674545,89.413101,20.144632,35.968357,6.128426,14.453474,8.199732,10.230634,-5.840336,4.026175,-2.215668,1.902859,-5.320830,2187.723523,2682.584585,5311.992751,0.069745,0.084283,21.855157,acoustic_guitar,[gac][jaz_blu]0531__3.wav
-149.061539,71.122650,-20.143988,46.179695,-4.554229,9.865572,-5.656094,-5.131701,1.350262,2.829258,-11.763268,-6.568466,-5.945283,2620.383849,2317.869499,4953.961839,0.125165,0.080520,24.413163,acoustic_guitar,[gac][jaz_blu]0532__1.wav
-122.892731,62.708004,-19.278767,39.729599,-14.991750,4.492169,-0.685648,-4.943706,0.765664,4.685523,-15.633776,-11.323083,-14.675256,2957.440389,2411.950974,5513.990760,0.175575,0.079783,24.389697,acoustic_guitar,[gac][jaz_blu]0532__2.wav
-120.719017,94.087242,-9.842616,36.404243,-8.545835,6.328945,-2.103758,-5.078387,2.147168,-1.514747,-13.555031,-5.237307,-14.229483,2130.105142,2299.196388,4502.178673,0.071616,0.146389,23.971726,acoustic_guitar,[gac][jaz_blu]0532__3.wav
-371.092133,120.837967,-5.097824,31.258142,19.824287,19.151022,2.818519,8.601265,-13.203692,-5.489731,-18.900038,-7.474447,-5.439805,1397.420899,1799.915428,2843.873573,0.063826,0.024853,28.581988,acoustic_guitar,[gac][jaz_blu]0535__1.wav
-348.420258,125.845413,-1.246013,31.863894,17.807013,16.034121,3.891016,3.447547,-16.007050,-11.041065,-21.025023,-13.826935,-5.219604,1348.825157,1814.583904,2761.964581,0.053959,0.027292,27.417222,acoustic_guitar,[gac][jaz_blu]0535__2.wav
-348.713257,128.399124,-19.472206,24.610365,13.711205,9.112160,-3.392998,9.560162,-18.918863,-14.689976,-23.717762,-12.567229,-9.740759,1350.019659,1703.850208,2682.788649,0.057249,0.028750,27.609031,acoustic_guitar,[gac][jaz_blu]0535__3.wav
-332.291138,143.350159,-21.698301,60.930752,10.229712,27.773127,11.791091,5.800539,-0.735870,5.111440,1.303649,3.617731,0.122183,1042.234257,1528.810698,2361.612643,0.034300,0.034171,23.034525,acoustic_guitar,[gac][jaz_blu]0536__1.wav
-337.194458,144.042206,-24.514187,62.626953,11.419445,26.245283,10.568115,2.474063,1.306598,7.856460,2.244749,3.596022,-0.673054,1024.300945,1498.210047,2355.566782,0.036629,0.034769,23.171114,acoustic_guitar,[gac][jaz_blu]0536__2.wav
-330.040680,141.269028,-26.768206,58.012516,8.470342,25.544012,9.743030,2.082906,2.948198,13.080805,2.221475,-2.004670,-5.657169,1132.779827,1532.239731,2523.111666,0.047487,0.034938,23.755046,acoustic_guitar,[gac][jaz_blu]0536__3.wav
-350.335388,161.497696,2.298622,45.045788,2.936515,8.502693,12.665978,10.088958,-12.071543,-14.020915,-4.853430,-12.386692,-12.119584,865.266802,1311.593988,1680.086764,0.034935,0.042747,26.071664,acoustic_guitar,[gac][jaz_blu]0538__1.wav
-317.641235,143.039215,-4.458839,42.800449,-10.475147,16.571041,8.549332,3.028389,-14.981044,-18.543388,-5.773780,-8.711308,-21.713181,1150.833422,1553.341698,2378.507925,0.049760,0.037829,27.080498,acoustic_guitar,[gac][jaz_blu]0538__2.wav
-345.631927,148.927841,2.755681,43.409744,0.429448,9.089014,12.841902,3.317931,-10.238818,-14.034433,-4.299242,-9.803974,-16.159964,934.300565,1414.610594,1803.157302,0.034905,0.037734,26.429896,acoustic_guitar,[gac][jaz_blu]0538__3.wav
-291.395691,187.564499,-60.334167,35.759991,25.244358,-11.556047,15.141395,-9.191829,-9.161506,-0.713220,-10.891635,-7.073567,-10.895108,1068.342139,1045.471604,2107.106746,0.065663,0.053470,24.915551,acoustic_guitar,[gac][jaz_blu]0539__1.wav
-259.682617,190.268799,-76.685616,32.638039,27.891304,-11.007741,16.315876,-12.860765,-12.083226,-0.286550,-13.808655,-11.593957,-12.124963,1190.801564,1019.564691,2227.444223,0.086783,0.069437,25.346454,acoustic_guitar,[gac][jaz_blu]0539__2.wav
-430.137665,128.837112,-6.788226,30.355627,3.124203,11.753683,12.428172,4.012239,-21.630617,-20.865591,-16.905588,-6.239751,-6.471575,1240.247322,1660.187703,2367.244404,0.050146,0.016696,25.920417,acoustic_guitar,[gac][jaz_blu]0543__1.wav
-488.545380,113.081100,7.192326,31.146381,21.394482,16.191942,12.281221,5.112564,-9.419113,-10.548258,-8.280133,-5.061875,-5.622031,1556.894484,2113.581371,3552.398776,0.048208,0.014157,23.997708,acoustic_guitar,[gac][jaz_blu]0543__2.wav
-522.492920,103.511261,19.049437,33.196957,7.773478,4.229581,7.224649,-2.665169,-13.577680,-5.629642,-6.485670,-8.897765,-15.815460,1380.513533,1970.303229,2695.460111,0.044764,0.012914,25.984796,acoustic_guitar,[gac][jaz_blu]0543__3.wav
-287.651794,148.854813,41.479012,19.023148,1.723929,16.503721,-0.363675,4.026019,0.346238,4.756994,-1.695742,4.028303,0.189498,1090.914024,1846.917010,2147.522912,0.031825,0.060869,21.420125,acoustic_guitar,[gac][jaz_blu]0544__1.wav
-285.260712,152.072861,44.103252,19.066647,8.596300,16.813807,0.303537,5.139481,0.672176,4.233399,-3.083432,3.400182,1.795104,977.713614,1794.235953,1888.627554,0.020658,0.081526,22.007450,acoustic_guitar,[gac][jaz_blu]0544__2.wav
-248.430771,114.202713,29.654095,15.460468,-4.459155,15.576583,-2.149959,2.013404,-4.850503,-1.157626,-8.343204,0.961420,-2.319483,1818.377916,2369.052537,3886.080604,0.071514,0.045673,21.044412,acoustic_guitar,[gac][jaz_blu]0544__3.wav
-166.730957,105.306816,21.310438,33.774902,8.988958,9.616535,-2.375241,3.737904,-4.228307,1.747365,-3.679906,0.419202,-8.035772,1823.156714,2449.625706,4336.124549,0.055814,0.082231,22.464683,acoustic_guitar,[gac][jaz_blu]0549__1.wav
-105.187080,116.299393,9.927905,32.788204,7.767922,4.673575,-10.504654,0.150597,-5.104263,-1.588935,-8.214313,-6.793499,-9.943049,1688.628642,2270.189912,3775.847168,0.060036,0.130906,21.804107,acoustic_guitar,[gac][jaz_blu]0549__2.wav
-137.354050,100.118088,21.994802,30.707809,4.972669,13.243335,-5.046443,4.406093,-4.809817,-0.728722,-7.671528,-3.782374,-6.750020,1951.291212,2541.878660,4776.809833,0.061974,0.106583,21.920006,acoustic_guitar,[gac][jaz_blu]0549__3.wav
-331.986237,176.817749,42.895290,30.646708,21.968149,16.769466,11.354769,8.899386,-3.198211,-2.599447,3.952379,1.817503,0.378115,506.835697,948.947344,789.771635,0.024298,0.098626,24.864095,acoustic_guitar,[gac][jaz_blu]0559__1.wav
-344.859314,175.523361,45.466072,38.016911,27.782684,22.614660,15.790298,11.051511,-1.267585,-3.010077,-4.071094,-6.335690,-3.851709,486.652602,967.665362,770.308932,0.021563,0.098710,24.395349,acoustic_guitar,[gac][jaz_blu]0559__3.wav
-203.870331,81.610992,-9.626458,25.919239,-6.066121,5.073691,-21.646263,9.240304,-10.833391,-4.067229,-14.859358,-4.978861,-10.821958,2276.983699,2421.230497,5085.645658,0.102731,0.039351,26.822532,acoustic_guitar,[gac][jaz_blu]0566__1.wav
-210.905045,85.208862,-11.562333,27.124577,-0.948443,6.043359,-22.364149,2.404982,-12.207772,-3.535584,-11.243220,-5.882162,-9.890470,2152.585148,2350.756423,4724.964506,0.091729,0.039864,26.989522,acoustic_guitar,[gac][jaz_blu]0566__2.wav
-233.740189,105.317131,-16.061625,27.676039,0.788614,11.729701,-13.251868,11.222110,-9.382504,0.092366,-9.332491,-8.655367,-9.370530,1718.529115,2074.179714,3670.500113,0.065599,0.047223,28.487524,acoustic_guitar,[gac][jaz_blu]0566__3.wav
-290.244751,156.474182,-1.892713,10.722244,6.292891,-3.252988,-7.943397,-4.926066,-6.285334,-4.116185,-6.433710,-1.475219,-3.550470,1085.219986,1572.165401,1787.752779,0.050680,0.056269,26.073673,acoustic_guitar,[gac][jaz_blu]0568__1.wav
-226.775238,157.264908,-27.404739,12.150270,-4.372288,-8.624362,-11.659155,-10.949397,-14.260124,-8.242584,-5.815425,-3.606450,-11.875878,1268.067702,1464.855364,2248.149226,0.074339,0.080372,26.324874,acoustic_guitar,[gac][jaz_blu]0568__2.wav
-233.504486,156.305618,-25.998920,14.965603,-6.618393,-14.377235,-14.420739,-11.602131,-13.104231,-1.077826,-5.271557,-9.894883,-10.214074,1248.616425,1488.884534,2257.921988,0.067270,0.078422,26.337977,acoustic_guitar,[gac][jaz_blu]0568__3.wav
-233.359924,103.048584,-5.986446,36.032276,3.680558,17.914276,6.921578,12.451313,-4.457708,4.107117,-2.898520,1.634754,-6.731721,1878.395895,2229.325520,4110.936937,0.062399,0.045692,22.380341,acoustic_guitar,[gac][jaz_blu]0574__1.wav
-219.608475,104.557350,-1.559060,38.891331,4.411451,17.988026,4.800643,12.843911,-3.977329,2.809719,-5.925955,-3.936590,-9.372223,1800.368480,2232.944770,4054.867788,0.053775,0.053456,22.452496,acoustic_guitar,[gac][jaz_blu]0574__2.wav
-184.214676,98.738045,-2.769073,36.552692,2.992386,15.537357,2.510981,7.064738,-8.979575,-3.051103,-8.628247,-0.880370,-6.890838,1996.337107,2339.984792,4465.903508,0.068314,0.059165,22.348098,acoustic_guitar,[gac][jaz_blu]0574__3.wav
